x, u, time
4.003202562049639444e-04,1.680935224171718855e-15,1.636537412493361265e-01
1.200960768614891833e-03,1.429594806658200953e-15,1.636537412493361265e-01
2.001601281024820156e-03,1.215368326297109759e-15,1.636537412493361265e-01
2.802241793434748045e-03,1.032846624683949412e-15,1.636537412493361265e-01
3.602882305844675934e-03,8.773981686646889853e-16,1.636537412493361265e-01
4.403522818254604690e-03,7.450588557261781466e-16,1.636537412493361265e-01
5.204163330664531711e-03,6.324371997799650877e-16,1.636537412493361265e-01
6.004803843074460468e-03,5.366327847280211682e-16,1.636537412493361265e-01
6.805444355484387489e-03,4.551661584963984359e-16,1.636537412493361265e-01
7.606084867894316245e-03,3.859185876816990476e-16,1.636537412493361265e-01
8.406725380304245002e-03,3.270803074995634402e-16,1.636537412493361265e-01
9.207365892714172023e-03,2.771060876477425491e-16,1.636537412493361265e-01
1.000800640512410078e-02,2.346770957453484023e-16,1.636537412493361265e-01
1.080864691753402780e-02,1.986681794501209947e-16,1.636537412493361265e-01
1.160928742994395656e-02,1.681198090321913657e-16,1.636537412493361265e-01
1.240992794235388358e-02,1.422140265747159423e-16,1.636537412493361265e-01
1.321056845476381233e-02,1.202538382357832679e-16,1.636537412493361265e-01
1.401120896717374109e-02,1.016455640196489228e-16,1.636537412493361265e-01
1.481184947958366811e-02,8.588372690122647876e-17,1.636537412493361265e-01
1.561248999199359687e-02,7.253812134498486500e-17,1.636537412493361265e-01
1.641313050440352389e-02,6.124275149131795739e-17,1.636537412493361265e-01
1.721377101681344918e-02,5.168637262088448563e-17,1.636537412493361265e-01
1.801441152922337793e-02,4.360440688019378388e-17,1.636537412493361265e-01
1.881505204163330669e-02,3.677203646643414065e-17,1.636537412493361265e-01
1.961569255404323545e-02,3.099830522585752857e-17,1.636537412493361265e-01
2.041633306645316420e-02,2.612108352440897724e-17,1.636537412493361265e-01
2.121697357886308949e-02,2.200277182715020292e-17,1.636537412493361265e-01
2.201761409127301825e-02,1.852663612953009690e-17,1.636537412493361265e-01
2.281825460368294700e-02,1.559368361259843267e-17,1.636537412493361265e-01
2.361889511609287576e-02,1.311999998673773007e-17,1.636537412493361265e-01
2.441953562850280104e-02,1.103448123918829114e-17,1.636537412493361265e-01
2.522017614091272980e-02,9.276902164411622017e-18,1.636537412493361265e-01
2.602081665332265856e-02,7.796272353355511890e-18,1.636537412493361265e-01
2.682145716573258731e-02,6.549437438135146761e-18,1.636537412493361265e-01
2.762209767814251607e-02,5.499889496686251898e-18,1.636537412493361265e-01
2.842273819055244136e-02,4.616755759224565404e-18,1.636537412493361265e-01
2.922337870296237011e-02,3.873939247040790490e-18,1.636537412493361265e-01
3.002401921537229887e-02,3.249388819572955373e-18,1.636537412493361265e-01
3.082465972778222763e-02,2.724479398586607381e-18,1.636537412493361265e-01
3.162530024019215291e-02,2.283485956806971267e-18,1.636537412493361265e-01
3.242594075260208514e-02,1.913137269777476065e-18,1.636537412493361265e-01
3.322658126501201042e-02,1.602237491953740508e-18,1.636537412493361265e-01
3.402722177742193571e-02,1.341345380885519167e-18,1.636537412493361265e-01
3.482786228983186794e-02,1.122502499593132980e-18,1.636537412493361265e-01
3.562850280224179322e-02,9.390030137021940753e-19,1.636537412493361265e-01
3.642914331465172545e-02,7.851987981510409220e-19,1.636537412493361265e-01
3.722978382706165074e-02,6.563345054596244106e-19,1.636537412493361265e-01
3.803042433947157602e-02,5.484080469207868671e-19,1.636537412493361265e-01
3.883106485188150825e-02,4.580526196130151624e-19,1.636537412493361265e-01
3.963170536429143354e-02,3.824369929535314292e-19,1.636537412493361265e-01
4.043234587670136576e-02,3.191812632833501104e-19,1.636537412493361265e-01
4.123298638911129105e-02,2.662857062649434512e-19,1.636537412493361265e-01
4.203362690152121633e-02,2.220707154378356608e-19,1.636537412493361265e-01
4.283426741393114856e-02,1.851261203242261127e-19,1.636537412493361265e-01
4.363490792634107385e-02,1.542684368809026891e-19,1.636537412493361265e-01
4.443554843875099913e-02,1.285048235895430326e-19,1.636537412493361265e-01
4.523618895116093136e-02,1.070027038195489400e-19,1.636537412493361265e-01
4.603682946357085665e-02,8.906417420231412141e-20,1.636537412493361265e-01
4.683746997598078887e-02,7.410445382101147060e-20,1.636537412493361265e-01
4.763811048839071416e-02,6.163374362818101820e-20,1.636537412493361265e-01
4.843875100080063945e-02,5.124196271136499056e-20,1.636537412493361265e-01
4.923939151321057167e-02,4.258591044074761827e-20,1.636537412493361265e-01
5.004003202562049696e-02,3.537847337387964259e-20,1.636537412493361265e-01
5.084067253803042918e-02,2.937955495354031644e-20,1.636537412493361265e-01
5.164131305044035447e-02,2.438845612729351647e-20,1.636537412493361265e-01
5.244195356285027976e-02,2.023747741317517974e-20,1.636537412493361265e-01
5.324259407526021198e-02,1.678654880232190670e-20,1.636537412493361265e-01
5.404323458767013727e-02,1.391872421887127380e-20,1.636537412493361265e-01
5.484387510008006950e-02,1.153640289381643384e-20,1.636537412493361265e-01
5.564451561248999478e-02,9.558161669648246605e-21,1.636537412493361265e-01
5.644515612489992007e-02,7.916100545411258082e-21,1.636537412493361265e-01
5.724579663730985229e-02,6.553619214125533260e-21,1.636537412493361265e-01
