x, u, time
4.003202562049639444e-04,3.839097437184617601e-01,4.439099718574585629e-01
1.200960768614891833e-03,3.735597994329426519e-01,4.439099718574585629e-01
2.001601281024820156e-03,3.633491060754878155e-01,4.439099718574585629e-01
2.802241793434748045e-03,3.532816029755240783e-01,4.439099718574585629e-01
3.602882305844675934e-03,3.433609581613423778e-01,4.439099718574585629e-01
4.403522818254604690e-03,3.335905703132837630e-01,4.439099718574585629e-01
5.204163330664531711e-03,3.239735711729336276e-01,4.439099718574585629e-01
6.004803843074460468e-03,3.145128283901170718e-01,4.439099718574585629e-01
6.805444355484387489e-03,3.052109487887371131e-01,4.439099718574585629e-01
7.606084867894316245e-03,2.960702820320064155e-01,4.439099718574585629e-01
8.406725380304245002e-03,2.870929246669817192e-01,4.439099718574585629e-01
9.207365892714172023e-03,2.782807245281190833e-01,4.439099718574585629e-01
1.000800640512410078e-02,2.696352854790033393e-01,4.439099718574585629e-01
1.080864691753402780e-02,2.611579724712498329e-01,4.439099718574585629e-01
1.160928742994395656e-02,2.528499168993874613e-01,4.439099718574585629e-01
1.240992794235388358e-02,2.447120222303398318e-01,4.439099718574585629e-01
1.321056845476381233e-02,2.367449698860858154e-01,4.439099718574585629e-01
1.401120896717374109e-02,2.289492253581025538e-01,4.439099718574585629e-01
1.481184947958366811e-02,2.213250445322862137e-01,4.439099718574585629e-01
1.561248999199359687e-02,2.138724802031184147e-01,4.439099718574585629e-01
1.641313050440352389e-02,2.065913887560520967e-01,4.439099718574585629e-01
1.721377101681344918e-02,1.994814369973997303e-01,4.439099718574585629e-01
1.801441152922337793e-02,1.925421091112407002e-01,4.439099718574585629e-01
1.881505204163330669e-02,1.857727137232663139e-01,4.439099718574585629e-01
1.961569255404323545e-02,1.791723910518946139e-01,4.439099718574585629e-01
2.041633306645316420e-02,1.727401201273429665e-01,4.439099718574585629e-01
2.121697357886308949e-02,1.664747260599664380e-01,4.439099718574585629e-01
2.201761409127301825e-02,1.603748873396606822e-01,4.439099718574585629e-01
2.281825460368294700e-02,1.544391431486182020e-01,4.439099718574585629e-01
2.361889511609287576e-02,1.486659006704354746e-01,4.439099718574585629e-01
2.441953562850280104e-02,1.430534423791614829e-01,4.439099718574585629e-01
2.522017614091272980e-02,1.375999332924909280e-01,4.439099718574585629e-01
2.602081665332265856e-02,1.323034281740697315e-01,4.439099718574585629e-01
2.682145716573258731e-02,1.271618786705071280e-01,4.439099718574585629e-01
2.762209767814251607e-02,1.221731403694508028e-01,4.439099718574585629e-01
2.842273819055244136e-02,1.173349797657773225e-01,4.439099718574585629e-01
2.922337870296237011e-02,1.126450811237375976e-01,4.439099718574585629e-01
3.002401921537229887e-02,1.081010532235982952e-01,4.439099718574585629e-01
3.082465972778222763e-02,1.037004359821215027e-01,4.439099718574585629e-01
3.162530024019215291e-02,9.944070693694849472e-02,4.439099718574585629e-01
3.242594075260208514e-02,9.531928758571020510e-02,4.439099718574585629e-01
3.322658126501201042e-02,9.133354957148173692e-02,4.439099718574585629e-01
3.402722177742193571e-02,8.748082070689822132e-02,4.439099718574585629e-01
3.482786228983186794e-02,8.375839083002659113e-02,4.439099718574585629e-01
3.562850280224179322e-02,8.016351748577478509e-02,4.439099718574585629e-01
3.642914331465172545e-02,7.669343142740216168e-02,4.439099718574585629e-01
3.722978382706165074e-02,7.334534193334760199e-02,4.439099718574585629e-01
3.803042433947157602e-02,7.011644193531069158e-02,4.439099718574585629e-01
3.883106485188150825e-02,6.700391295416692483e-02,4.439099718574585629e-01
3.963170536429143354e-02,6.400492984098284099e-02,4.439099718574585629e-01
4.043234587670136576e-02,6.111666532101117655e-02,4.439099718574585629e-01
4.123298638911129105e-02,5.833629433916782264e-02,4.439099718574585629e-01
4.203362690152121633e-02,5.566099820607102455e-02,4.439099718574585629e-01
4.283426741393114856e-02,5.308796854428962653e-02,4.439099718574585629e-01
4.363490792634107385e-02,5.061441103500553124e-02,4.439099718574585629e-01
4.443554843875099913e-02,4.823754896578832246e-02,4.439099718574585629e-01
4.523618895116093136e-02,4.595462658068868306e-02,4.439099718574585629e-01
4.603682946357085665e-02,4.376291223430742866e-02,4.439099718574585629e-01
4.683746997598078887e-02,4.165970135194799889e-02,4.439099718574585629e-01
4.763811048839071416e-02,3.964231919835921325e-02,4.439099718574585629e-01
4.843875100080063945e-02,3.770812345796121373e-02,4.439099718574585629e-01
4.923939151321057167e-02,3.585450662981693598e-02,4.439099718574585629e-01
5.004003202562049696e-02,3.407889824092003028e-02,4.439099718574585629e-01
5.084067253803042918e-02,3.237876688168873224e-02,4.439099718574585629e-01
5.164131305044035447e-02,3.075162206782725005e-02,4.439099718574585629e-01
5.244195356285027976e-02,2.919501593296679534e-02,4.439099718574585629e-01
5.324259407526021198e-02,2.770654475672398864e-02,4.439099718574585629e-01
5.404323458767013727e-02,2.628385033300890961e-02,4.439099718574585629e-01
5.484387510008006950e-02,2.492462118359623988e-02,4.439099718574585629e-01
5.564451561248999478e-02,2.362659362211898956e-02,4.439099718574585629e-01
5.644515612489992007e-02,2.238755267376752248e-02,4.439099718574585629e-01
5.724579663730985229e-02,2.120533285609379689e-02,4.439099718574585629e-01
5.804643714971977758e-02,2.007781882638973170e-02,4.439099718574585629e-01
5.884707766212970981e-02,1.900294590118285776e-02,4.439099718574585629e-01
5.964771817453963509e-02,1.797870045341821293e-02,4.439099718574585629e-01
6.044835868694956038e-02,1.700312019293806140e-02,4.439099718574585629e-01
6.124899919935949261e-02,1.607429433586823539e-02,4.439099718574585629e-01
6.204963971176941789e-02,1.519036366851009984e-02,4.439099718574585629e-01
6.285028022417935012e-02,1.434952051131128774e-02,4.439099718574585629e-01
6.365092073658927541e-02,1.355000858845051628e-02,4.439099718574585629e-01
6.445156124899921457e-02,1.279012280851686903e-02,4.439099718574585629e-01
6.525220176140913986e-02,1.206820896169661164e-02,4.439099718574585629e-01
6.605284227381906514e-02,1.138266333879867261e-02,4.439099718574585629e-01
6.685348278622899043e-02,1.073193227736087864e-02,4.439099718574585629e-01
6.765412329863891572e-02,1.011451163997616892e-02,4.439099718574585629e-01
6.845476381104885488e-02,9.528946229862717346e-03,4.439099718574585629e-01
6.925540432345878017e-02,8.973829148583531770e-03,4.439099718574585629e-01
7.005604483586870546e-02,8.447801100688379083e-03,4.439099718574585629e-01
7.085668534827863074e-02,7.949549649913564137e-03,4.439099718574585629e-01
7.165732586068855603e-02,7.477808431430245546e-03,4.439099718574585629e-01
7.245796637309849519e-02,7.031356324484221501e-03,4.439099718574585629e-01
7.325860688550842048e-02,6.609016589616268679e-03,4.439099718574585629e-01
7.405924739791834577e-02,6.209655974495156133e-03,4.439099718574585629e-01
7.485988791032827105e-02,5.832183792235769507e-03,4.439099718574585629e-01
7.566052842273819634e-02,5.475550975915357242e-03,4.439099718574585629e-01
7.646116893514813551e-02,5.138749112835998972e-03,4.439099718574585629e-01
7.726180944755806079e-02,4.820809461922546772e-03,4.439099718574585629e-01
7.806244995996798608e-02,4.520801957479763517e-03,4.439099718574585629e-01
7.886309047237791137e-02,4.237834202372314438e-03,4.439099718574585629e-01
7.966373098478783665e-02,3.971050453528318473e-03,4.439099718574585629e-01
8.046437149719777582e-02,3.719630602509627071e-03,4.439099718574585629e-01
8.126501200960770110e-02,3.482789153733339017e-03,4.439099718574585629e-01
8.206565252201762639e-02,3.259774202772591691e-03,4.439099718574585629e-01
8.286629303442755168e-02,3.049866417012727336e-03,4.439099718574585629e-01
8.366693354683747696e-02,2.852378020787967733e-03,4.439099718574585629e-01
8.446757405924741613e-02,2.666651786976320399e-03,4.439099718574585629e-01
8.526821457165734142e-02,2.492060036888085403e-03,4.439099718574585629e-01
8.606885508406726670e-02,2.328003650142197387e-03,4.439099718574585629e-01
8.686949559647719199e-02,2.173911086089145520e-03,4.439099718574585629e-01
8.767013610888711728e-02,2.029237418207639233e-03,4.439099718574585629e-01
8.847077662129704256e-02,1.893463382774255828e-03,4.439099718574585629e-01
8.927141713370698173e-02,1.766094442983605481e-03,4.439099718574585629e-01
9.007205764611690701e-02,1.646659869576637880e-03,4.439099718574585629e-01
9.087269815852683230e-02,1.534711838922487703e-03,4.439099718574585629e-01
9.167333867093675759e-02,1.429824549389662565e-03,4.439099718574585629e-01
9.247397918334668288e-02,1.331593356739187725e-03,4.439099718574585629e-01
9.327461969575662204e-02,1.239633929172264271e-03,4.439099718574585629e-01
9.407526020816654733e-02,1.153581422571595648e-03,4.439099718574585629e-01
9.487590072057647261e-02,1.073089676385739679e-03,4.439099718574585629e-01
9.567654123298639790e-02,9.978304305214933528e-04,4.439099718574585629e-01
9.647718174539632319e-02,9.274925635289516142e-04,4.439099718574585629e-01
9.727782225780626235e-02,8.617813522895353745e-04,4.439099718574585629e-01
9.807846277021618764e-02,8.004177533461057569e-04,4.439099718574585629e-01
9.887910328262611293e-02,7.431377059486954937e-04,4.439099718574585629e-01
9.967974379503603821e-02,6.896914568277394625e-04,4.439099718574585629e-01
1.004803843074459635e-01,6.398429066492356725e-04,4.439099718574585629e-01
1.012810248198559027e-01,5.933689780537542389e-04,4.439099718574585629e-01
1.020816653322658280e-01,5.500590051316409752e-04,4.439099718574585629e-01
1.028823058446757532e-01,5.097141441426039730e-04,4.439099718574585629e-01
1.036829463570856785e-01,4.721468052458614208e-04,4.439099718574585629e-01
1.044835868694956038e-01,4.371801049702336893e-04,4.439099718574585629e-01
1.052842273819055430e-01,4.046473391192469560e-04,4.439099718574585629e-01
1.060848678943154683e-01,3.743914757759274044e-04,4.439099718574585629e-01
1.068855084067253935e-01,3.462646680446710042e-04,4.439099718574585629e-01
1.076861489191353188e-01,3.201277861433036867e-04,4.439099718574585629e-01
1.084867894315452441e-01,2.958499684372594145e-04,4.439099718574585629e-01
1.092874299439551833e-01,2.733081909893070988e-04,4.439099718574585629e-01
1.100880704563651086e-01,2.523868551824632071e-04,4.439099718574585629e-01
1.108887109687750339e-01,2.329773929604017559e-04,4.439099718574585629e-01
1.116893514811849591e-01,2.149778892187417291e-04,4.439099718574585629e-01
1.124899919935948844e-01,1.982927208718516913e-04,4.439099718574585629e-01
1.132906325060048236e-01,1.828322121130922142e-04,4.439099718574585629e-01
1.140912730184147489e-01,1.685123053817861043e-04,4.439099718574585629e-01
1.148919135308246742e-01,1.552542475471943464e-04,4.439099718574585629e-01
1.156925540432345995e-01,1.429842908186127067e-04,4.439099718574585629e-01
1.164931945556445247e-01,1.316334078908980916e-04,4.439099718574585629e-01
1.172938350680544639e-01,1.211370208365327648e-04,4.439099718574585629e-01
1.180944755804643892e-01,1.114347432583466378e-04,4.439099718574585629e-01
1.188951160928743145e-01,1.024701352212331091e-04,4.439099718574585629e-01
1.196957566052842398e-01,9.419047048652318555e-05,4.439099718574585629e-01
1.204963971176941651e-01,8.654651557894128323e-05,4.439099718574585629e-01
1.212970376301040903e-01,7.949232022330348485e-05,4.439099718574585629e-01
1.220976781425140295e-01,7.298501869601217956e-05,4.439099718574585629e-01
1.228983186549239548e-01,6.698464164513656715e-05,4.439099718574585629e-01
1.236989591673338801e-01,6.145393794207895384e-05,4.439099718574585629e-01
1.244995996797438054e-01,5.635820613769774334e-05,4.439099718574585629e-01
1.253002401921537168e-01,5.166513510595699475e-05,4.439099718574585629e-01
1.261008807045636559e-01,4.734465346888999470e-05,4.439099718574585629e-01
1.269015212169735674e-01,4.336878740757448854e-05,4.439099718574585629e-01
1.277021617293835065e-01,3.971152647507528643e-05,4.439099718574585629e-01
1.285028022417934457e-01,3.634869703871974450e-05,4.439099718574585629e-01
1.293034427542033571e-01,3.325784299063480690e-05,4.439099718574585629e-01
1.301040832666132963e-01,3.041811337712146528e-05,4.439099718574585629e-01
1.309047237790232077e-01,2.781015660915977305e-05,4.439099718574585629e-01
1.317053642914331468e-01,2.541602092802355085e-05,4.439099718574585629e-01
1.325060048038430860e-01,2.321906081166034985e-05,4.439099718574585629e-01
1.333066453162529974e-01,2.120384901910017203e-05,4.439099718574585629e-01
1.341072858286629366e-01,1.935609398162906441e-05,4.439099718574585629e-01
1.349079263410728480e-01,1.766256226084039982e-05,4.439099718574585629e-01
1.357085668534827871e-01,1.611100580486896419e-05,4.439099718574585629e-01
1.365092073658927263e-01,1.469009374514675845e-05,4.439099718574585629e-01
1.373098478783026377e-01,1.338934848681743146e-05,4.439099718574585629e-01
1.381104883907125769e-01,1.219908585656024385e-05,4.439099718574585629e-01
1.389111289031224883e-01,1.111035908192380428e-05,4.439099718574585629e-01
1.397117694155324275e-01,1.011490638638569349e-05,4.439099718574585629e-01
1.405124099279423666e-01,9.205101994199948480e-06,4.439099718574585629e-01
1.413130504403522780e-01,8.373910348672593544e-06,4.439099718574585629e-01
1.421136909527622172e-01,7.614843356809027919e-06,4.439099718574585629e-01
1.429143314651721286e-01,6.921920482288560548e-06,4.439099718574585629e-01
1.437149719775820678e-01,6.289631517453561338e-06,4.439099718574585629e-01
1.445156124899920069e-01,5.712901873434498562e-06,4.439099718574585629e-01
1.453162530024019183e-01,5.187060235677805637e-06,4.439099718574585629e-01
1.461168935148118575e-01,4.707808439995595607e-06,4.439099718574585629e-01
1.469175340272217689e-01,4.271193431813090925e-06,4.439099718574585629e-01
1.477181745396317081e-01,3.873581178560880415e-06,4.439099718574585629e-01
1.485188150520416472e-01,3.511632412138465132e-06,4.439099718574585629e-01
1.493194555644515586e-01,3.182280085073494166e-06,4.439099718574585629e-01
1.501200960768614978e-01,2.882708430418453154e-06,4.439099718574585629e-01
1.509207365892714092e-01,2.610333521567720196e-06,4.439099718574585629e-01
1.517213771016813484e-01,2.362785234051369233e-06,4.439099718574585629e-01
1.525220176140912876e-01,2.137890516969656008e-06,4.439099718574585629e-01
1.533226581265011990e-01,1.933657887083894831e-06,4.439099718574585629e-01
1.541232986389111381e-01,1.748263063679256267e-06,4.439099718574585629e-01
1.549239391513210495e-01,1.580035667172140187e-06,4.439099718574585629e-01
1.557245796637309887e-01,1.427446909053528774e-06,4.439099718574585629e-01
1.565252201761409279e-01,1.289098205150650550e-06,4.439099718574585629e-01
1.573258606885508393e-01,1.163710648357900065e-06,4.439099718574585629e-01
1.581265012009607784e-01,1.050115280941778096e-06,4.439099718574585629e-01
1.589271417133706898e-01,9.472441102721167826e-07,4.439099718574585629e-01
1.597277822257806290e-01,8.541218153811492031e-07,4.439099718574585629e-01
1.605284227381905682e-01,7.698580951085626887e-07,4.439099718574585629e-01
1.613290632506004796e-01,6.936406117646176496e-07,4.439099718574585629e-01
1.621297037630104187e-01,6.247284872405443609e-07,4.439099718574585629e-01
1.629303442754203302e-01,5.624463113243533430e-07,4.439099718574585629e-01
1.637309847878302693e-01,5.061786246469416182e-07,4.439099718574585629e-01
1.645316253002402085e-01,4.553648411967219797e-07,4.439099718574585629e-01
1.653322658126501199e-01,4.094945777063550974e-07,4.439099718574585629e-01
1.661329063250600591e-01,3.681033594405181481e-07,4.439099718574585629e-01
1.669335468374699705e-01,3.307686740055677038e-07,4.439099718574585629e-01
1.677341873498799096e-01,2.971063467664854325e-07,4.439099718574585629e-01
1.685348278622898488e-01,2.667672133000831806e-07,4.439099718574585629e-01
1.693354683746997602e-01,2.394340660429100535e-07,4.439099718574585629e-01
1.701361088871096994e-01,2.148188539126219730e-07,4.439099718574585629e-01
1.709367493995196108e-01,1.926601151989696006e-07,4.439099718574585629e-01
1.717373899119295499e-01,1.727206254406312423e-07,4.439099718574585629e-01
1.725380304243394614e-01,1.547852433319169814e-07,4.439099718574585629e-01
