x, u, time
3.125000000000000173e-03,5.598773516497467989e-22,1.757812499999446276e-01
9.374999999999999653e-03,2.842610253131393830e-22,1.757812499999446276e-01
1.562500000000000000e-02,1.003235892356358304e-22,1.757812499999446276e-01
2.187499999999999861e-02,1.083285729864488495e-23,1.757812499999446276e-01
2.812499999999999722e-02,3.160633942402200864e-24,1.757812499999446276e-01
3.437499999999999584e-02,2.504037533995352983e-24,1.757812499999446276e-01
4.062500000000000139e-02,2.047700632744892151e-24,1.757812499999446276e-01
4.687500000000000000e-02,1.380745491142046115e-24,1.757812499999446276e-01
5.312499999999999861e-02,6.056141916718752056e-25,1.757812499999446276e-01
5.937499999999999722e-02,7.389527180834415391e-26,1.757812499999446276e-01
6.562499999999998890e-02,4.445917358583494514e-27,1.757812499999446276e-01
7.187499999999999445e-02,4.147838068227749146e-27,1.757812499999446276e-01
7.812500000000000000e-02,3.863574732198570983e-27,1.757812499999446276e-01
8.437499999999999167e-02,3.236974467908812992e-27,1.757812499999446276e-01
9.062499999999999722e-02,2.216998980721250472e-27,1.757812499999446276e-01
9.687499999999998890e-02,1.047619634833419111e-27,1.757812499999446276e-01
1.031249999999999944e-01,1.727323331283385496e-28,1.757812499999446276e-01
1.093750000000000000e-01,4.128763078604305712e-30,1.757812499999446276e-01
1.156249999999999917e-01,3.953137847374225269e-30,1.757812499999446276e-01
1.218749999999999972e-01,3.782799942978765036e-30,1.757812499999446276e-01
1.281249999999999889e-01,3.363229240048707037e-30,1.757812499999446276e-01
1.343749999999999667e-01,2.608310437451256340e-30,1.757812499999446276e-01
1.406249999999999722e-01,1.615116689220634181e-30,1.757812499999446276e-01
1.468749999999999778e-01,6.308792084447680361e-31,1.757812499999446276e-01
1.531249999999999833e-01,7.817084211214806065e-32,1.757812499999446276e-01
1.593749999999999889e-01,5.634992728400262245e-32,1.757812499999446276e-01
1.656249999999999667e-01,1.104512984995678325e-31,1.757812499999446276e-01
1.718749999999999722e-01,4.482171469178131985e-31,1.757812499999446276e-01
1.781249999999999778e-01,2.132585956925775412e-30,1.757812499999446276e-01
1.843749999999999833e-01,1.010622190809053260e-29,1.757812499999446276e-01
1.906249999999999611e-01,4.696529795671275805e-29,1.757812499999446276e-01
1.968749999999999667e-01,2.141793144430082152e-28,1.757812499999446276e-01
2.031249999999999722e-01,9.591920102681497183e-28,1.757812499999446276e-01
2.093749999999999778e-01,4.219505592892539388e-27,1.757812499999446276e-01
2.156249999999999833e-01,1.823392786498158239e-26,1.757812499999446276e-01
2.218749999999999611e-01,7.740741275059080362e-26,1.757812499999446276e-01
2.281249999999999667e-01,3.228398901694502481e-25,1.757812499999446276e-01
2.343749999999999722e-01,1.322855250595416633e-24,1.757812499999446276e-01
2.406249999999999778e-01,5.325690080069007780e-24,1.757812499999446276e-01
2.468749999999999556e-01,2.106666290951360621e-23,1.757812499999446276e-01
2.531249999999999889e-01,8.188231838148675481e-23,1.757812499999446276e-01
2.593749999999999667e-01,3.127365670017148127e-22,1.757812499999446276e-01
2.656249999999999445e-01,1.173773624113097845e-21,1.757812499999446276e-01
2.718749999999999778e-01,4.329493211968111653e-21,1.757812499999446276e-01
2.781249999999999556e-01,1.569564602883368424e-20,1.757812499999446276e-01
2.843749999999999889e-01,5.593372890824465095e-20,1.757812499999446276e-01
2.906249999999999667e-01,1.959816063912374388e-19,1.757812499999446276e-01
2.968749999999999445e-01,6.753718964395595523e-19,1.757812499999446276e-01
3.031249999999999778e-01,2.290103394171999677e-18,1.757812499999446276e-01
3.093749999999999556e-01,7.645804940125930734e-18,1.757812499999446276e-01
3.156249999999999889e-01,2.515381416278177314e-17,1.757812499999446276e-01
3.218749999999999667e-01,8.162910013061899358e-17,1.757812499999446276e-01
3.281249999999999445e-01,2.616287357800588981e-16,1.757812499999446276e-01
