x, rho, v, P, time
-4.983333333333333393e+00,3.857143000059204851e+00,2.629368999932142792e+00,1.033329999974550972e+01,8.887274272150665899e-01
-4.950000000000000178e+00,3.857143000050573978e+00,2.629368999936513074e+00,1.033329999971277147e+01,8.887274272150665899e-01
-4.916666666666666963e+00,3.857143000041483027e+00,2.629368999941086749e+00,1.033329999967855173e+01,8.887274272150665899e-01
-4.883333333333333748e+00,3.857143000043650183e+00,2.629368999939980966e+00,1.033329999968673540e+01,8.887274272150665899e-01
-4.849999999999999645e+00,3.857143000015308409e+00,2.629368999954238895e+00,1.033329999958001544e+01,8.887274272150665899e-01
-4.816666666666666430e+00,3.857143000052716708e+00,2.629368999935257190e+00,1.033329999972211510e+01,8.887274272150665899e-01
-4.783333333333333215e+00,3.857142999997813071e+00,2.629368999963032749e+00,1.033329999951384082e+01,8.887274272150665899e-01
-4.750000000000000000e+00,3.857143000040002434e+00,2.629368999941411822e+00,1.033329999967698143e+01,8.887274272150665899e-01
-4.716666666666666785e+00,3.857143000055324844e+00,2.629368999934211804e+00,1.033329999972792201e+01,8.887274272150665899e-01
-4.683333333333333570e+00,3.857142999918693249e+00,2.629369000002579781e+00,1.033329999922249698e+01,8.887274272150665899e-01
-4.650000000000000355e+00,3.857143000211904482e+00,2.629368999855098199e+00,1.033330000031582330e+01,8.887274272150665899e-01
-4.616666666666667140e+00,3.857142999837258390e+00,2.629369000045504112e+00,1.033329999890710127e+01,8.887274272150665899e-01
-4.583333333333333037e+00,3.857143000029839008e+00,2.629368999943130891e+00,1.033329999965193480e+01,8.887274272150665899e-01
-4.549999999999999822e+00,3.857143000446138004e+00,2.629368999745980151e+00,1.033330000115236125e+01,8.887274272150665899e-01
-4.516666666666666607e+00,3.857142999112128656e+00,2.629369000394436995e+00,1.033329999627405726e+01,8.887274272150665899e-01
-4.483333333333333393e+00,3.857143000997635074e+00,2.629368999480445446e+00,1.033330000313611841e+01,8.887274272150665899e-01
-4.450000000000000178e+00,3.857143000071626471e+00,2.629368999901293691e+00,1.033329999997411086e+01,8.887274272150665899e-01
-4.416666666666666963e+00,3.857142997823960417e+00,2.629369001075334999e+00,1.033329999116765130e+01,8.887274272150665899e-01
-4.383333333333333748e+00,3.857143004018947163e+00,2.629368997943976716e+00,1.033330001472235082e+01,8.887274272150665899e-01
-4.349999999999999645e+00,3.857142997611554325e+00,2.629369001101527825e+00,1.033329999070883787e+01,8.887274272150665899e-01
-4.316666666666666430e+00,3.857142995627997895e+00,2.629369002341648720e+00,1.033329998236926350e+01,8.887274272150665899e-01
-4.283333333333333215e+00,3.857143012297675977e+00,2.629368993377281694e+00,1.033330004751753783e+01,8.887274272150665899e-01
-4.250000000000000000e+00,3.857142990672434824e+00,2.629369005421757777e+00,1.033329996088031066e+01,8.887274272150665899e-01
-4.216666666666666785e+00,3.857142986261826945e+00,2.629369005562305350e+00,1.033329995403173029e+01,8.887274272150665899e-01
-4.183333333333333570e+00,3.857143043050689890e+00,2.629368980281775237e+00,1.033330015244774636e+01,8.887274272150665899e-01
-4.150000000000000355e+00,3.857142965829195802e+00,2.629369014597161325e+00,1.033329988119031384e+01,8.887274272150665899e-01
-4.116666666666667140e+00,3.857142957728904697e+00,2.629369023841599429e+00,1.033329983388432538e+01,8.887274272150665899e-01
-4.083333333333333037e+00,3.857143120528741420e+00,2.629368937841800147e+00,1.033330044726898223e+01,8.887274272150665899e-01
-4.049999999999999822e+00,3.857142952184534845e+00,2.629369022128097644e+00,1.033329985163671694e+01,8.887274272150665899e-01
-4.016666666666666607e+00,3.857142806175563265e+00,2.629369106622105434e+00,1.033329918981473128e+01,8.887274272150665899e-01
-3.983333333333333393e+00,3.857143253057002674e+00,2.629368850026264859e+00,1.033330111406210783e+01,8.887274272150665899e-01
-3.950000000000000178e+00,3.857143271708546539e+00,2.629368907816983292e+00,1.033330073964401485e+01,8.887274272150665899e-01
-3.916666666666666963e+00,3.857142093672702998e+00,2.629369380757062835e+00,1.033329700278559393e+01,8.887274272150665899e-01
-3.883333333333333304e+00,3.857143305992972504e+00,2.629368957367496762e+00,1.033330067097641169e+01,8.887274272150665899e-01
-3.850000000000000089e+00,3.857144360511543635e+00,2.629368168866748068e+00,1.033330547589807047e+01,8.887274272150665899e-01
-3.816666666666666430e+00,3.857142159536811388e+00,2.629369592916719345e+00,1.033329697178686146e+01,8.887274272150665899e-01
-3.783333333333333215e+00,3.857140115485925946e+00,2.629370292539752185e+00,1.033328783778595827e+01,8.887274272150665899e-01
-3.750000000000000000e+00,3.857145212360225894e+00,2.629367956436273968e+00,1.033331198364945536e+01,8.887274272150665899e-01
-3.716666666666666785e+00,3.857149892202397901e+00,2.629365673812379622e+00,1.033331831670127343e+01,8.887274272150665899e-01
-3.683333333333333570e+00,3.857135636010797342e+00,2.629372226252697065e+00,1.033328539129395018e+01,8.887274272150665899e-01
-3.650000000000000355e+00,3.857131621600704552e+00,2.629375556196112296e+00,1.033323849965153229e+01,8.887274272150665899e-01
-3.616666666666666696e+00,3.857135084155124627e+00,2.629372065557299631e+00,1.033329479447334620e+01,8.887274272150665899e-01
-3.583333333333333481e+00,3.857139854695166292e+00,2.629370242968805726e+00,1.033329466172477318e+01,8.887274272150665899e-01
-3.549999999999999822e+00,3.857004192307992074e+00,2.629440287018069977e+00,1.033264268046663226e+01,8.887274272150665899e-01
-3.516666666666666607e+00,3.856289622249455373e+00,2.629802746223709686e+00,1.032991504657122839e+01,8.887274272150665899e-01
-3.483333333333333393e+00,3.854167705700103586e+00,2.630869401234496419e+00,1.032200892957900251e+01,8.887274272150665899e-01
-3.450000000000000178e+00,3.848890606337688869e+00,2.633516471950321236e+00,1.030230391540053603e+01,8.887274272150665899e-01
-3.416666666666666963e+00,3.835757987935700442e+00,2.640128687695900922e+00,1.025316651870220852e+01,8.887274272150665899e-01
-3.383333333333333304e+00,3.808404702287735866e+00,2.653948132492557566e+00,1.015104364829509365e+01,8.887274272150665899e-01
-3.350000000000000089e+00,3.766038158225472721e+00,2.675549432636548097e+00,9.993209972153568543e+00,8.887274272150665899e-01
-3.316666666666666430e+00,3.712400641223778663e+00,2.703141016912946615e+00,9.794617691103553625e+00,8.887274272150665899e-01
-3.283333333333333215e+00,3.661518324530299129e+00,2.729613086777349373e+00,9.607283652814425423e+00,8.887274272150665899e-01
-3.250000000000000000e+00,3.637430472866020281e+00,2.742161605904065436e+00,9.519385049186105618e+00,8.887274272150665899e-01
-3.216666666666666785e+00,3.685455986443904486e+00,2.717422029822448515e+00,9.693655188436666847e+00,8.887274272150665899e-01
-3.183333333333333570e+00,3.838850461679587767e+00,2.638287903503261145e+00,1.026641385654238015e+01,8.887274272150665899e-01
-3.150000000000000355e+00,3.965548465796134181e+00,2.575530761028978599e+00,1.074268199197998719e+01,8.887274272150665899e-01
-3.116666666666666696e+00,4.025019763722403887e+00,2.546347370885512884e+00,1.096888741372536202e+01,8.887274272150665899e-01
-3.083333333333333481e+00,4.052473138341519565e+00,2.533077409888006226e+00,1.107393976023800164e+01,8.887274272150665899e-01
-3.049999999999999822e+00,4.066746615496360739e+00,2.526283107700494135e+00,1.112851292762861100e+01,8.887274272150665899e-01
