x, rho, v, P, time
-4.983333333333333393e+00,3.857143000055765381e+00,2.629368999933876516e+00,1.033329999973250324e+01,1.458708705213576762e+00
-4.950000000000000178e+00,3.857143000055485604e+00,2.629368999934014184e+00,1.033329999973146407e+01,1.458708705213576762e+00
-4.916666666666666963e+00,3.857143000055655691e+00,2.629368999933928031e+00,1.033329999973211244e+01,1.458708705213576762e+00
-4.883333333333333748e+00,3.857143000056502569e+00,2.629368999933501705e+00,1.033329999973529745e+01,1.458708705213576762e+00
-4.849999999999999645e+00,3.857143000055874182e+00,2.629368999933820561e+00,1.033329999973290114e+01,1.458708705213576762e+00
-4.816666666666666430e+00,3.857143000055875515e+00,2.629368999933818341e+00,1.033329999973291891e+01,1.458708705213576762e+00
-4.783333333333333215e+00,3.857143000055162307e+00,2.629368999934176721e+00,1.033329999973025082e+01,1.458708705213576762e+00
-4.750000000000000000e+00,3.857143000052762893e+00,2.629368999935383755e+00,1.033329999972126068e+01,1.458708705213576762e+00
-4.716666666666666785e+00,3.857143000057356996e+00,2.629368999933080264e+00,1.033329999973847180e+01,1.458708705213576762e+00
-4.683333333333333570e+00,3.857143000058564919e+00,2.629368999932473638e+00,1.033329999974300328e+01,1.458708705213576762e+00
-4.650000000000000355e+00,3.857143000056650450e+00,2.629368999933436868e+00,1.033329999973581792e+01,1.458708705213576762e+00
-4.616666666666667140e+00,3.857143000067118077e+00,2.629368999928183737e+00,1.033329999977502922e+01,1.458708705213576762e+00
-4.583333333333333037e+00,3.857143000053671944e+00,2.629368999934928119e+00,1.033329999972467128e+01,1.458708705213576762e+00
-4.549999999999999822e+00,3.857143000040690328e+00,2.629368999941457563e+00,1.033329999967583035e+01,1.458708705213576762e+00
-4.516666666666666607e+00,3.857143000064074290e+00,2.629368999929690531e+00,1.033329999976379909e+01,1.458708705213576762e+00
-4.483333333333333393e+00,3.857143000020283097e+00,2.629368999951708474e+00,1.033329999959919832e+01,1.458708705213576762e+00
-4.450000000000000178e+00,3.857143000007509759e+00,2.629368999958089592e+00,1.033329999955171274e+01,1.458708705213576762e+00
-4.416666666666666963e+00,3.857143000094747087e+00,2.629368999914296623e+00,1.033329999987863701e+01,1.458708705213576762e+00
-4.383333333333333748e+00,3.857142999975338160e+00,2.629368999974319276e+00,1.033329999943049771e+01,1.458708705213576762e+00
-4.349999999999999645e+00,3.857142999955965657e+00,2.629368999983828559e+00,1.033329999935937060e+01,1.458708705213576762e+00
-4.316666666666666430e+00,3.857143000231030516e+00,2.629368999846206201e+00,1.033330000038711916e+01,1.458708705213576762e+00
-4.283333333333333215e+00,3.857142999895081026e+00,2.629369000014022628e+00,1.033329999913468811e+01,1.458708705213576762e+00
-4.250000000000000000e+00,3.857142999763862434e+00,2.629369000081171581e+00,1.033329999863011217e+01,1.458708705213576762e+00
-4.216666666666666785e+00,3.857143000626798823e+00,2.629368999646426452e+00,1.033330000188398223e+01,1.458708705213576762e+00
-4.183333333333333570e+00,3.857142999851313370e+00,2.629369000036703596e+00,1.033329999895622997e+01,1.458708705213576762e+00
-4.150000000000000355e+00,3.857142998966450076e+00,2.629369000482385310e+00,1.033329999564953994e+01,1.458708705213576762e+00
-4.116666666666667140e+00,3.857143001563635654e+00,2.629368999171293186e+00,1.033330000540473748e+01,1.458708705213576762e+00
-4.083333333333333037e+00,3.857143000617339279e+00,2.629368999664723372e+00,1.033330000178151842e+01,1.458708705213576762e+00
-4.049999999999999822e+00,3.857142996190195738e+00,2.629369001850034415e+00,1.033329998536109784e+01,1.458708705213576762e+00
-4.016666666666666607e+00,3.857143002546613797e+00,2.629368998724744610e+00,1.033330000884528488e+01,1.458708705213576762e+00
-3.983333333333333393e+00,3.857143005556458171e+00,2.629368997111155348e+00,1.033330002071654263e+01,1.458708705213576762e+00
-3.950000000000000178e+00,3.857142990307494745e+00,2.629369004903463480e+00,1.033329996271551288e+01,1.458708705213576762e+00
-3.916666666666666963e+00,3.857142996123965606e+00,2.629369001841391995e+00,1.033329998542092021e+01,1.458708705213576762e+00
-3.883333333333333304e+00,3.857143023061960552e+00,2.629368988385629713e+00,1.033330008591094540e+01,1.458708705213576762e+00
-3.850000000000000089e+00,3.857142992389113179e+00,2.629369003951838035e+00,1.033329997016339341e+01,1.458708705213576762e+00
-3.816666666666666430e+00,3.857142957079390921e+00,2.629369020988223227e+00,1.033329984126499745e+01,1.458708705213576762e+00
-3.783333333333333215e+00,3.857143041537197004e+00,2.629368980260486932e+00,1.033330014931541285e+01,1.458708705213576762e+00
-3.750000000000000000e+00,3.857143062102529996e+00,2.629368966638447880e+00,1.033330024325079322e+01,1.458708705213576762e+00
-3.716666666666666785e+00,3.857142897677750870e+00,2.629369054840533515e+00,1.033329959915875307e+01,1.458708705213576762e+00
-3.683333333333333570e+00,3.857142899332321573e+00,2.629369045426942275e+00,1.033329964326671480e+01,1.458708705213576762e+00
-3.650000000000000355e+00,3.857143252316023840e+00,2.629368879646007517e+00,1.033330092561445213e+01,1.458708705213576762e+00
-3.616666666666666696e+00,3.857143124382662158e+00,2.629368931201977677e+00,1.033330047078101011e+01,1.458708705213576762e+00
-3.583333333333333481e+00,3.857142497001786463e+00,2.629369255540271677e+00,1.033329815173465960e+01,1.458708705213576762e+00
-3.549999999999999822e+00,3.857142798584663801e+00,2.629369107344758039e+00,1.033329911595454398e+01,1.458708705213576762e+00
-3.516666666666666607e+00,3.857143914121583528e+00,2.629368515996059141e+00,1.033330370931806641e+01,1.458708705213576762e+00
-3.483333333333333393e+00,3.857143657726721742e+00,2.629368726165655534e+00,1.033330196145389479e+01,1.458708705213576762e+00
-3.450000000000000178e+00,3.857141013351159220e+00,2.629369895648666855e+00,1.033329332087540209e+01,1.458708705213576762e+00
-3.416666666666666963e+00,3.857141752068865781e+00,2.629369783659142534e+00,1.033329433250186824e+01,1.458708705213576762e+00
-3.383333333333333304e+00,3.857145437527810472e+00,2.629367566636522380e+00,1.033331006734233704e+01,1.458708705213576762e+00
-3.350000000000000089e+00,3.857147425324246370e+00,2.629367011513456198e+00,1.033331641342247842e+01,1.458708705213576762e+00
-3.316666666666666430e+00,3.857140100563098972e+00,2.629370263755598014e+00,1.033328726348025306e+01,1.458708705213576762e+00
-3.283333333333333215e+00,3.857131046758768722e+00,2.629375042815480512e+00,1.033326125004590956e+01,1.458708705213576762e+00
-3.250000000000000000e+00,3.857135521271298551e+00,2.629372993006942938e+00,1.033325899729241115e+01,1.458708705213576762e+00
-3.216666666666666785e+00,3.857129683359558747e+00,2.629375001874247886e+00,1.033327671741132292e+01,1.458708705213576762e+00
-3.183333333333333570e+00,3.857081357407354361e+00,2.629400707713485552e+00,1.033304336700313542e+01,1.458708705213576762e+00
