x, rho, v, P, time
2.500000000000000052e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.599547676781885863e-01
7.499999999999999722e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.599547676781885863e-01
1.250000000000000069e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.599547676781885863e-01
1.749999999999999820e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.599547676781885863e-01
2.249999999999999917e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.599547676781885863e-01
2.750000000000000014e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.599547676781885863e-01
3.250000000000000111e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.599547676781885863e-01
3.750000000000000555e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.599547676781885863e-01
4.250000000000000305e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.599547676781885863e-01
4.750000000000000056e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.599547676781885863e-01
5.250000000000000500e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.599547676781885863e-01
5.750000000000000250e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.599547676781885863e-01
6.250000000000000000e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.599547676781885863e-01
6.750000000000000444e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.599547676781885863e-01
7.250000000000000888e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.599547676781885863e-01
7.749999999999999944e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.599547676781885863e-01
8.250000000000000389e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.599547676781885863e-01
8.750000000000000833e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.599547676781885863e-01
9.249999999999999889e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.599547676781885863e-01
9.750000000000000333e-02,1.000000000000000000e+00,-8.409893227813400023e-17,1.000000000000000000e+00,1.599547676781885863e-01
1.025000000000000078e-01,9.999999999999996669e-01,3.608212690474510801e-16,1.000000000000000000e+00,1.599547676781885863e-01
1.074999999999999983e-01,1.000000000000000444e+00,-2.373532567317652500e-16,1.000000000000000888e+00,1.599547676781885863e-01
1.125000000000000028e-01,1.000000000000007550e+00,-8.518497193965651485e-15,1.000000000000010658e+00,1.599547676781885863e-01
1.175000000000000072e-01,1.000000000000013989e+00,-1.620336361619964052e-14,1.000000000000019762e+00,1.599547676781885863e-01
1.224999999999999978e-01,9.999999999999849010e-01,1.901872567153146744e-14,9.999999999999781286e-01,1.599547676781885863e-01
1.275000000000000022e-01,9.999999999999195088e-01,9.638899509347193094e-14,9.999999999998869793e-01,1.599547676781885863e-01
1.325000000000000067e-01,9.999999999999871214e-01,1.557285449174444184e-14,9.999999999999820144e-01,1.599547676781885863e-01
1.375000000000000111e-01,1.000000000000371259e+00,-4.400722891315154293e-13,1.000000000000521583e+00,1.599547676781885863e-01
1.425000000000000155e-01,1.000000000000494493e+00,-5.850765869870308054e-13,1.000000000000693001e+00,1.599547676781885863e-01
1.474999999999999922e-01,9.999999999988584687e-01,1.352052819802326100e-12,9.999999999984010568e-01,1.599547676781885863e-01
1.524999999999999967e-01,9.999999999963553599e-01,4.313249940003507348e-12,9.999999999948966378e-01,1.599547676781885863e-01
1.575000000000000011e-01,1.000000000000711431e+00,-8.418960890831878875e-13,1.000000000000996758e+00,1.599547676781885863e-01
1.625000000000000056e-01,1.000000000017179369e+00,-2.032741021885268393e-11,1.000000000024052316e+00,1.599547676781885863e-01
1.675000000000000100e-01,1.000000000018579804e+00,-2.198273092201856007e-11,1.000000000026010971e+00,1.599547676781885863e-01
1.725000000000000144e-01,9.999999999490835068e-01,6.024302775297593245e-11,9.999999999287202401e-01,1.599547676781885863e-01
1.775000000000000189e-01,9.999999998536907020e-01,1.731178449097013024e-10,9.999999997951647401e-01,1.599547676781885863e-01
1.824999999999999956e-01,1.000000000021184832e+00,-2.506651536633327598e-11,1.000000000029659830e+00,1.599547676781885863e-01
1.875000000000000000e-01,1.000000000639375886e+00,-7.565208596803852639e-10,1.000000000895127972e+00,1.599547676781885863e-01
1.925000000000000044e-01,1.000000000791843258e+00,-9.369219504110131300e-10,1.000000001108581449e+00,1.599547676781885863e-01
1.975000000000000089e-01,9.999999985164585992e-01,1.755350136976804731e-09,9.999999979230416169e-01,1.599547676781885863e-01
2.025000000000000133e-01,9.999999947263394917e-01,6.239877873352351665e-09,9.999999926168775533e-01,1.599547676781885863e-01
2.075000000000000178e-01,9.999999981781202418e-01,2.155679647623065115e-09,9.999999974493662958e-01,1.599547676781885863e-01
2.124999999999999944e-01,1.000000017683407849e+00,-2.092328897939640097e-08,1.000000024756770634e+00,1.599547676781885863e-01
2.174999999999999989e-01,1.000000033500763497e+00,-3.963863509708047887e-08,1.000000046901066808e+00,1.599547676781885863e-01
2.225000000000000033e-01,9.999999851777997550e-01,1.753785998410333198e-08,9.999999792489235872e-01,1.599547676781885863e-01
2.275000000000000078e-01,9.999998533910354759e-01,1.734700604542992757e-07,9.999997947474583704e-01,1.599547676781885863e-01
2.325000000000000122e-01,9.999998182491216525e-01,2.150505585097351591e-07,9.999997455487825704e-01,1.599547676781885863e-01
2.375000000000000167e-01,1.000000219462712225e+00,-2.596717010028874540e-07,1.000000307247832954e+00,1.599547676781885863e-01
2.424999999999999933e-01,1.000000986698317273e+00,-1.167473048910136164e-06,1.000001381377966014e+00,1.599547676781885863e-01
2.474999999999999978e-01,1.000000900070703080e+00,-1.064982657807994947e-06,1.000001260099294464e+00,1.599547676781885863e-01
2.525000000000000022e-01,9.999981693074864175e-01,2.166112778063734442e-06,9.999974370322973760e-01,1.599547676781885863e-01
2.575000000000000067e-01,9.999934691145445642e-01,7.726950556862416429e-06,9.999908567737261222e-01,1.599547676781885863e-01
2.625000000000000111e-01,9.999930136187463736e-01,8.267847315585066478e-06,9.999902190812969272e-01,1.599547676781885863e-01
2.675000000000000155e-01,1.000004955958879505e+00,-5.857633300318331634e-06,1.000006938367266729e+00,1.599547676781885863e-01
2.725000000000000200e-01,1.000024611234390015e+00,-2.897924372665770318e-05,1.000034455957619528e+00,1.599547676781885863e-01
2.775000000000000244e-01,1.000015651484058798e+00,-1.763681714132682733e-05,1.000021912279465131e+00,1.599547676781885863e-01
2.825000000000000289e-01,9.998941171296115149e-01,1.254578234769700325e-04,9.998517693936557205e-01,1.599547676781885863e-01
2.875000000000000333e-01,9.994944187256015189e-01,5.932792377923339425e-04,9.992922708102353058e-01,1.599547676781885863e-01
2.924999999999999822e-01,9.984991664216226193e-01,1.770794477840472282e-03,9.978995472442224735e-01,1.599547676781885863e-01
2.974999999999999867e-01,9.962730274674925779e-01,4.411440843109374829e-03,9.947866052482738919e-01,1.599547676781885863e-01
3.024999999999999911e-01,9.915429379120892506e-01,1.003552706268640883e-02,9.881823205996309589e-01,1.599547676781885863e-01
3.074999999999999956e-01,9.828842035009247580e-01,2.038386214486148998e-02,9.761260512744820428e-01,1.599547676781885863e-01
3.125000000000000000e-01,9.703007273935635446e-01,3.555274329694105978e-02,9.586797376982045815e-01,1.599547676781885863e-01
3.175000000000000044e-01,9.548408428969290540e-01,5.440703220766870268e-02,9.373673612324860960e-01,1.599547676781885863e-01
3.225000000000000089e-01,9.376535256129985285e-01,7.565891794486956368e-02,9.138334955843020468e-01,1.599547676781885863e-01
3.275000000000000133e-01,9.195921130349812289e-01,9.833185675634924239e-02,8.892868759809432477e-01,1.599547676781885863e-01
3.325000000000000178e-01,9.011690895719415284e-01,1.218298188332584270e-01,8.644460489889347343e-01,1.599547676781885863e-01
3.375000000000000222e-01,8.826588342466628045e-01,1.458298404560073869e-01,8.396910158540604741e-01,1.599547676781885863e-01
3.425000000000000266e-01,8.642072431105410901e-01,1.701581920572790563e-01,8.152200690096075286e-01,1.599547676781885863e-01
