x, rho, v, P, time
2.500000000000000052e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.823815190308925305e-01
7.499999999999999722e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.823815190308925305e-01
1.250000000000000069e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.823815190308925305e-01
1.749999999999999820e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.823815190308925305e-01
2.249999999999999917e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.823815190308925305e-01
2.750000000000000014e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.823815190308925305e-01
3.250000000000000111e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.823815190308925305e-01
3.750000000000000555e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.823815190308925305e-01
4.250000000000000305e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.823815190308925305e-01
4.750000000000000056e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.823815190308925305e-01
5.250000000000000500e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.823815190308925305e-01
5.750000000000000250e-02,1.000000000000000000e+00,2.601572723885620145e-17,1.000000000000000000e+00,1.823815190308925305e-01
6.250000000000000000e-02,1.000000000000000000e+00,-2.434570182096897319e-17,1.000000000000000000e+00,1.823815190308925305e-01
6.750000000000000444e-02,1.000000000000000000e+00,6.130165849863383820e-17,1.000000000000000000e+00,1.823815190308925305e-01
7.250000000000000888e-02,9.999999999999981126e-01,1.947833845399937134e-15,9.999999999999976685e-01,1.823815190308925305e-01
7.749999999999999944e-02,9.999999999999972244e-01,3.066303491920428933e-15,9.999999999999962252e-01,1.823815190308925305e-01
8.250000000000000389e-02,1.000000000000005329e+00,-6.482195083441129201e-15,1.000000000000007327e+00,1.823815190308925305e-01
8.750000000000000833e-02,1.000000000000021538e+00,-2.536849154159489402e-14,1.000000000000029754e+00,1.823815190308925305e-01
9.249999999999999889e-02,1.000000000000005995e+00,-6.713305706059935803e-15,1.000000000000007550e+00,1.823815190308925305e-01
9.750000000000000333e-02,9.999999999999126254e-01,1.007540393344008624e-13,9.999999999998802069e-01,1.823815190308925305e-01
1.025000000000000078e-01,9.999999999998765432e-01,1.464067446716486296e-13,9.999999999998268052e-01,1.823815190308925305e-01
1.074999999999999983e-01,1.000000000000233147e+00,-2.756623115062894930e-13,1.000000000000326184e+00,1.823815190308925305e-01
1.125000000000000028e-01,1.000000000000836664e+00,-9.909017162522553694e-13,1.000000000001172173e+00,1.823815190308925305e-01
1.175000000000000072e-01,1.000000000000027311e+00,-3.419421533936143185e-14,1.000000000000039746e+00,1.823815190308925305e-01
1.224999999999999978e-01,9.999999999964021002e-01,4.255182341086032111e-12,9.999999999949644724e-01,1.823815190308925305e-01
1.275000000000000022e-01,9.999999999952209340e-01,5.654232981832239968e-12,9.999999999933094630e-01,1.823815190308925305e-01
1.325000000000000067e-01,1.000000000008937739e+00,-1.057447023866681541e-11,1.000000000012511991e+00,1.823815190308925305e-01
1.375000000000000111e-01,1.000000000031854741e+00,-3.768980791453536972e-11,1.000000000044595438e+00,1.823815190308925305e-01
1.425000000000000155e-01,1.000000000006189049e+00,-7.321085417819257263e-12,1.000000000008662626e+00,1.823815190308925305e-01
1.474999999999999922e-01,9.999999998788886568e-01,1.433007045617091746e-10,9.999999998304444082e-01,1.823815190308925305e-01
1.524999999999999967e-01,9.999999998066435580e-01,2.287826947208884999e-10,9.999999997293002041e-01,1.823815190308925305e-01
1.575000000000000011e-01,1.000000000206291206e+00,-2.440872572037109525e-10,1.000000000288807867e+00,1.823815190308925305e-01
1.625000000000000056e-01,1.000000001050367127e+00,-1.242810060577790032e-09,1.000000001470513045e+00,1.823815190308925305e-01
1.675000000000000100e-01,1.000000000735702166e+00,-8.704940828790469320e-10,1.000000001029983210e+00,1.823815190308925305e-01
1.725000000000000144e-01,9.999999971063572302e-01,3.423806237952114825e-09,9.999999959488983237e-01,1.823815190308925305e-01
1.775000000000000189e-01,9.999999929021760048e-01,8.398259210105855860e-09,9.999999900630462957e-01,1.823815190308925305e-01
1.824999999999999956e-01,9.999999997811505059e-01,2.589485689622639326e-10,9.999999996936080882e-01,1.823815190308925305e-01
1.875000000000000000e-01,1.000000025281996718e+00,-2.991406040056887373e-08,1.000000035394793985e+00,1.823815190308925305e-01
1.925000000000000044e-01,1.000000040557322611e+00,-4.798807125654314392e-08,1.000000056780253610e+00,1.823815190308925305e-01
1.975000000000000089e-01,9.999999763715807788e-01,2.795752228856183867e-08,9.999999669202148667e-01,1.823815190308925305e-01
2.025000000000000133e-01,9.999998210035868640e-01,2.117914240481283028e-07,9.999997494050334446e-01,1.823815190308925305e-01
2.075000000000000178e-01,9.999997784522247635e-01,2.621388840696835659e-07,9.999996898331324768e-01,1.823815190308925305e-01
2.124999999999999944e-01,1.000000205844158607e+00,-2.435581110032193292e-07,1.000000288181858377e+00,1.823815190308925305e-01
2.174999999999999989e-01,1.000001041232622123e+00,-1.232002629217781834e-06,1.000001457726025444e+00,1.823815190308925305e-01
2.225000000000000033e-01,1.000001086347026114e+00,-1.285381990219308164e-06,1.000001520886240947e+00,1.823815190308925305e-01
2.275000000000000078e-01,9.999984518020519353e-01,1.831847282630412075e-06,9.999978325244476274e-01,1.823815190308925305e-01
2.325000000000000122e-01,9.999930991452856688e-01,8.165243844609525325e-06,9.999903388188765563e-01,1.823815190308925305e-01
2.375000000000000167e-01,9.999894739461149262e-01,1.245468945544729430e-05,9.999852635568960979e-01,1.823815190308925305e-01
2.424999999999999933e-01,9.999937881393361483e-01,7.349458792542198621e-06,9.999913034094652931e-01,1.823815190308925305e-01
2.474999999999999978e-01,1.000001895426711140e+00,-2.231374420951439388e-06,1.000002653598217606e+00,1.823815190308925305e-01
2.525000000000000022e-01,9.999816242142484102e-01,2.178525545761908719e-05,9.999742741572483773e-01,1.823815190308925305e-01
2.575000000000000067e-01,9.998583724959039243e-01,1.682519509597015677e-04,9.998017296920691521e-01,1.823815190308925305e-01
2.625000000000000111e-01,9.994891637512238747e-01,6.037526986195254457e-04,9.992849180786416152e-01,1.823815190308925305e-01
2.675000000000000155e-01,9.985764944210707705e-01,1.678673655512824677e-03,9.980077244692393545e-01,1.823815190308925305e-01
2.725000000000000200e-01,9.963328655921458443e-01,4.337818900380877724e-03,9.948702731307320635e-01,1.823815190308925305e-01
2.775000000000000244e-01,9.912075907573421052e-01,1.043630902414359463e-02,9.877146340180462669e-01,1.823815190308925305e-01
2.825000000000000289e-01,9.824092522628643520e-01,2.095461556746816209e-02,9.754653613399559831e-01,1.823815190308925305e-01
2.875000000000000333e-01,9.703343121007502736e-01,3.551345774496367236e-02,9.587247631891233635e-01,1.823815190308925305e-01
2.924999999999999822e-01,9.559818609230640307e-01,5.300978845881397505e-02,9.389333500149438239e-01,1.823815190308925305e-01
2.974999999999999867e-01,9.403388499681483159e-01,7.232199602777332481e-02,9.174960380941191707e-01,1.823815190308925305e-01
3.024999999999999911e-01,9.240831995824696499e-01,9.266595912398736812e-02,8.953690310322880430e-01,1.823815190308925305e-01
3.074999999999999956e-01,9.075934013091915276e-01,1.135981857339844747e-01,8.730814281198057136e-01,1.823815190308925305e-01
3.125000000000000000e-01,8.910643488137247603e-01,1.348881116991900164e-01,8.509025369795638616e-01,1.823815190308925305e-01
3.175000000000000044e-01,8.745995763328806571e-01,1.564118441277398408e-01,8.289727901892668394e-01,1.823815190308925305e-01
3.225000000000000089e-01,8.582585683297604406e-01,1.780968099398650140e-01,8.073704852017264955e-01,1.823815190308925305e-01
3.275000000000000133e-01,8.420775182505204626e-01,1.998975161046061821e-01,7.861410926728946702e-01,1.823815190308925305e-01
3.325000000000000178e-01,8.260790057269173925e-01,2.217843423637994860e-01,7.653109667634423463e-01,1.823815190308925305e-01
3.375000000000000222e-01,8.102772050893299882e-01,2.437375294007633753e-01,7.448947293104916101e-01,1.823815190308925305e-01
3.425000000000000266e-01,7.946809106748932150e-01,2.657436863601539967e-01,7.248995553713662998e-01,1.823815190308925305e-01
3.475000000000000311e-01,7.792953344466759802e-01,2.877937219793285095e-01,7.053277217690341327e-01,1.823815190308925305e-01
3.525000000000000355e-01,7.641232053804879465e-01,3.098815929249727485e-01,6.861781695211018883e-01,1.823815190308925305e-01
3.574999999999999845e-01,7.491654764854989157e-01,3.320035059242623654e-01,6.674475103209664972e-01,1.823815190308925305e-01
3.624999999999999889e-01,7.344218138224792858e-01,3.541573669861894369e-01,6.491307207841986449e-01,1.823815190308925305e-01
3.674999999999999933e-01,7.198909672038201757e-01,3.763423596299761420e-01,6.312216606223783888e-01,1.823815190308925305e-01
3.724999999999999978e-01,7.055710679503736094e-01,3.985585686846524478e-01,6.137134833464621408e-01,1.823815190308925305e-01
3.775000000000000022e-01,6.914599242433446813e-01,4.208066300074921329e-01,5.965990162091585614e-01,1.823815190308925305e-01
3.825000000000000067e-01,6.775552710765390119e-01,4.430872802956445367e-01,5.798710904718508141e-01,1.823815190308925305e-01
3.875000000000000111e-01,6.638551587931704745e-01,4.654008917770163789e-01,5.635229806086352600e-01,1.823815190308925305e-01
3.925000000000000155e-01,6.503582681165192003e-01,4.877466602352582559e-01,5.475487907273350885e-01,1.823815190308925305e-01
3.975000000000000200e-01,6.370645218718266056e-01,5.101217964050951403e-01,5.319441265369850846e-01,1.823815190308925305e-01
4.025000000000000244e-01,6.239756049735448729e-01,5.325201466629742031e-01,5.167065856349032371e-01,1.823815190308925305e-01
4.075000000000000289e-01,6.110954899833120901e-01,5.549311226831565858e-01,5.018364513581229369e-01,1.823815190308925305e-01
4.125000000000000333e-01,5.984309537814853641e-01,5.773388069386218291e-01,4.873368269441196166e-01,1.823815190308925305e-01
4.175000000000000377e-01,5.859903534881780729e-01,5.997221381427316755e-01,4.732127269958373295e-01,1.823815190308925305e-01
4.224999999999999867e-01,5.737834365283080995e-01,6.220591483163967483e-01,4.594696635111575334e-01,1.823815190308925305e-01
4.274999999999999911e-01,5.618142089755120416e-01,6.443305727163382013e-01,4.461079389921492333e-01,1.823815190308925305e-01
4.324999999999999956e-01,5.500835886757087234e-01,6.665342679726770081e-01,4.331215161376573697e-01,1.823815190308925305e-01
4.375000000000000000e-01,5.385746862187462680e-01,6.886825103390892266e-01,4.204892358704656052e-01,1.823815190308925305e-01
4.425000000000000044e-01,5.272721614805252477e-01,7.108143946554777992e-01,4.081859267940328162e-01,1.823815190308925305e-01
4.475000000000000089e-01,5.161443989497667140e-01,7.329651443227879204e-01,3.961802092214584126e-01,1.823815190308925305e-01
4.525000000000000133e-01,5.051922915073432385e-01,7.551606337570546668e-01,3.844538320939369092e-01,1.823815190308925305e-01
4.575000000000000178e-01,4.943899630560900649e-01,7.774150536175249426e-01,3.730066106908809243e-01,1.823815190308925305e-01
4.625000000000000222e-01,4.837641545844807434e-01,7.996701049249768101e-01,3.618220694909485835e-01,1.823815190308925305e-01
4.675000000000000266e-01,4.733501102235100899e-01,8.220127696889091284e-01,3.509562890678361025e-01,1.823815190308925305e-01
4.725000000000000311e-01,4.630165758454470870e-01,8.441595668866737068e-01,3.403103464946289347e-01,1.823815190308925305e-01
4.775000000000000355e-01,4.531642392188874879e-01,8.664638868178011766e-01,3.301850527572303684e-01,1.823815190308925305e-01
4.824999999999999845e-01,4.435424791449520399e-01,8.875331580371851325e-01,3.203123053262353359e-01,1.823815190308925305e-01
4.874999999999999889e-01,4.348847825821374746e-01,9.075999325305329490e-01,3.119915595047185186e-01,1.823815190308925305e-01
4.924999999999999933e-01,4.296374043025425471e-01,9.207467275096812287e-01,3.056726770685587735e-01,1.823815190308925305e-01
4.974999999999999978e-01,4.261809367389027270e-01,9.265312557862614984e-01,3.033774659139609753e-01,1.823815190308925305e-01
5.024999999999999467e-01,4.256912015686966644e-01,9.278302115711801745e-01,3.030052491640710111e-01,1.823815190308925305e-01
5.074999999999999512e-01,4.264668781852424817e-01,9.278007856788572649e-01,3.031814356623259155e-01,1.823815190308925305e-01
5.124999999999999556e-01,4.265277123078536348e-01,9.287524994009747070e-01,3.028191339573291230e-01,1.823815190308925305e-01
5.174999999999999600e-01,4.257358882553427537e-01,9.295425474129030974e-01,3.023040872674673807e-01,1.823815190308925305e-01
5.224999999999999645e-01,4.251573541829705705e-01,9.293511520860265884e-01,3.022834919539544862e-01,1.823815190308925305e-01
5.274999999999999689e-01,4.247610210798353769e-01,9.299014833511114464e-01,3.019731170893211192e-01,1.823815190308925305e-01
5.324999999999999734e-01,4.254151582237754581e-01,9.292508676773937326e-01,3.022432921474156320e-01,1.823815190308925305e-01
5.374999999999999778e-01,4.260501286665972498e-01,9.288383950654987009e-01,3.024625231918132151e-01,1.823815190308925305e-01
5.424999999999999822e-01,4.261516682547600854e-01,9.285839761822429761e-01,3.026232136013524143e-01,1.823815190308925305e-01
5.474999999999999867e-01,4.259136698011091737e-01,9.280887078591025796e-01,3.028629207053616379e-01,1.823815190308925305e-01
5.524999999999999911e-01,4.257667401948661556e-01,9.277813582316852825e-01,3.030093560983524448e-01,1.823815190308925305e-01
